idTime,idSymbol,idTransactionType,idGeography,numberOfTransactions,sumUnit
2,834.0,3,42.0,3,112.0
2,852.0,1,41.0,1,30.0
2,874.0,1,20.0,6,571.0
2,892.0,3,16.0,4,144.0
2,934.0,3,8.0,2,66.0
2,999.0,3,29.0,1,43.0
2,1002.0,3,20.0,1,30.0
2,1092.0,1,8.0,5,637.0
2,1196.0,1,41.0,1,129.0
2,1196.0,3,41.0,1,60.0
2,1240.0,1,41.0,2,22.0
2,1240.0,2,41.0,2,112.0
2,1240.0,3,41.0,2,22.0
2,1258.0,1,41.0,6,271.0
2,1258.0,2,41.0,1,56.0
2,1258.0,3,41.0,6,226.0
2,1277.0,1,36.0,5,521.0
2,1286.0,1,17.0,2,34.0
2,1286.0,3,17.0,1,17.0
2,1359.0,1,8.0,2,417.0
2,1387.0,1,41.0,5,724.0
2,1387.0,3,41.0,4,578.0
2,1444.0,3,40.0,2,54.0
2,1452.0,1,5.0,1,101.0
2,1452.0,2,5.0,2,115.0
2,1467.0,3,19.0,2,99.0
2,1482.0,1,41.0,5,95.0
2,1482.0,3,41.0,5,95.0
2,1558.0,1,41.0,4,174.0
2,1558.0,2,41.0,1,58.0
2,1558.0,3,41.0,4,148.0
2,1605.0,1,40.0,5,484.0
2,1605.0,2,40.0,1,55.0
2,1605.0,3,40.0,3,110.0
2,1689.0,1,40.0,1,146.0
2,1689.0,3,40.0,10,510.0
2,1697.0,1,41.0,6,794.0
2,1697.0,3,41.0,7,339.0
2,1735.0,1,19.0,5,250.0
2,1761.0,1,41.0,3,207.0
2,1761.0,3,41.0,2,65.0
2,1804.0,1,20.0,3,73.0
2,1804.0,2,20.0,4,221.0
2,1815.0,1,41.0,3,138.0
2,1815.0,2,41.0,1,55.0
2,1815.0,3,41.0,3,114.0
2,1900.0,1,41.0,6,412.0
2,1900.0,2,41.0,1,56.0
2,1900.0,3,41.0,6,224.0
2,1980.0,1,8.0,5,352.0
2,1980.0,3,8.0,4,188.0
2,2002.0,1,40.0,2,240.0
2,2043.0,3,36.0,4,120.0
2,2116.0,1,36.0,1,45.0
2,2127.0,1,5.0,2,125.0
2,2127.0,3,5.0,1,27.0
2,2140.0,1,41.0,1,28.0
2,2164.0,1,4.0,6,345.0
2,2164.0,3,4.0,6,345.0
2,2169.0,1,41.0,2,141.0
2,2169.0,3,41.0,2,69.0
2,2236.0,3,29.0,1,11.0
2,2275.0,1,40.0,3,170.0
2,2318.0,1,40.0,5,1169.0
2,2318.0,3,40.0,4,1066.0
2,2384.0,1,41.0,11,114.0
2,2384.0,3,41.0,12,132.0
2,2412.0,1,41.0,2,93.0
2,2412.0,2,41.0,1,56.0
2,2412.0,3,41.0,1,34.0
2,2457.0,1,40.0,2,48.0
2,2492.0,3,20.0,1,24.0
2,2602.0,1,41.0,3,258.0
2,2602.0,3,41.0,3,174.0
2,2607.0,1,5.0,4,570.0
2,2625.0,1,16.0,2,152.0
2,2625.0,3,16.0,3,111.0
2,2665.0,1,26.0,11,858.0
2,2665.0,3,26.0,11,401.0
2,2704.0,1,6.0,7,188.0
2,2704.0,3,6.0,5,109.0
2,2775.0,3,20.0,5,271.0
2,2807.0,1,4.0,8,136.0
2,2807.0,3,4.0,9,163.0
2,2869.0,1,41.0,1,55.0
2,2869.0,3,41.0,1,39.0
2,2870.0,1,37.0,12,885.0
2,2870.0,2,37.0,1,58.0
2,2870.0,3,37.0,13,846.0
2,2874.0,1,20.0,2,42.0
2,2874.0,2,20.0,1,56.0
2,2903.0,1,41.0,1,9.0
2,2903.0,3,41.0,1,9.0
2,2968.0,1,41.0,3,210.0
2,2968.0,2,41.0,1,56.0
2,2968.0,3,41.0,2,53.0
2,3055.0,3,8.0,5,267.0
2,3159.0,1,41.0,6,258.0
2,3159.0,3,41.0,6,255.0
2,3164.0,3,8.0,5,341.0
2,3183.0,1,8.0,11,1478.0
3,6.0,1,41.0,1,53.0
3,6.0,2,41.0,1,52.0
3,6.0,3,41.0,1,35.0
3,26.0,1,3.0,3,642.0
3,37.0,1,20.0,2,45.0
3,42.0,3,41.0,1,101.0
3,126.0,3,20.0,1,84.0
3,140.0,3,26.0,3,635.0
3,151.0,1,41.0,6,525.0
3,151.0,3,41.0,6,250.0
3,177.0,1,41.0,2,260.0
3,177.0,3,41.0,1,84.0
3,219.0,1,41.0,3,253.0
3,219.0,3,41.0,3,253.0
3,227.0,1,40.0,7,583.0
3,227.0,3,40.0,7,284.0
3,246.0,1,29.0,1,135.0
3,246.0,3,29.0,1,58.0
3,255.0,3,37.0,2,69.0
3,261.0,3,8.0,8,429.0
3,414.0,1,41.0,1,135.0
3,414.0,2,41.0,1,48.0
3,414.0,3,41.0,3,164.0
3,449.0,1,4.0,5,103.0
3,449.0,3,4.0,7,153.0
3,527.0,1,36.0,1,84.0
3,527.0,3,36.0,1,25.0
3,557.0,1,41.0,1,96.0
3,655.0,1,40.0,4,176.0
3,770.0,1,5.0,1,24.0
3,770.0,3,5.0,2,77.0
3,832.0,1,41.0,3,277.0
3,832.0,2,41.0,1,53.0
3,832.0,3,41.0,4,209.0
3,834.0,1,42.0,2,99.0
3,834.0,3,42.0,4,167.0
3,852.0,1,41.0,1,45.0
3,852.0,2,41.0,1,54.0
3,852.0,3,41.0,2,63.0
3,874.0,1,20.0,1,222.0
3,892.0,3,16.0,1,46.0
3,934.0,3,8.0,2,248.0
3,1002.0,2,20.0,3,144.0
3,1258.0,1,41.0,3,196.0
3,1258.0,2,41.0,2,98.0
3,1258.0,3,41.0,2,82.0
3,1277.0,1,36.0,1,82.0
3,1286.0,2,17.0,2,100.0
3,1359.0,1,8.0,2,169.0
3,1387.0,1,41.0,3,719.0
3,1387.0,3,41.0,3,610.0
3,1444.0,3,40.0,8,618.0
3,1452.0,1,5.0,1,101.0
3,1452.0,2,5.0,1,53.0
3,1455.0,1,41.0,2,83.0
3,1455.0,3,41.0,1,37.0
3,1482.0,1,41.0,3,73.0
3,1482.0,2,41.0,1,51.0
3,1482.0,3,41.0,3,73.0
3,1558.0,1,41.0,1,45.0
3,1558.0,2,41.0,1,53.0
3,1558.0,3,41.0,2,67.0
3,1689.0,3,40.0,4,164.0
3,1697.0,1,41.0,3,272.0
3,1697.0,3,41.0,2,108.0
3,1735.0,1,19.0,3,143.0
3,1761.0,2,41.0,1,52.0
3,1761.0,3,41.0,1,39.0
3,1804.0,1,20.0,1,17.0
3,1804.0,2,20.0,4,199.0
3,1815.0,1,41.0,2,212.0
3,1815.0,2,41.0,1,48.0
3,1815.0,3,41.0,3,119.0
3,1900.0,1,41.0,2,47.0
3,1900.0,2,41.0,1,50.0
3,1900.0,3,41.0,1,36.0
3,1980.0,1,8.0,5,490.0
3,1980.0,3,8.0,5,263.0
3,2043.0,3,36.0,1,233.0
3,2140.0,3,41.0,1,28.0
3,2164.0,1,4.0,1,39.0
3,2164.0,3,4.0,1,39.0
3,2169.0,1,41.0,1,136.0
3,2169.0,3,41.0,1,29.0
3,2236.0,3,29.0,4,92.0
3,2275.0,1,40.0,5,440.0
3,2318.0,3,40.0,2,412.0
3,2384.0,1,41.0,3,26.0
3,2384.0,3,41.0,3,165.0
3,2412.0,1,41.0,1,48.0
3,2412.0,2,41.0,1,51.0
3,2412.0,3,41.0,2,69.0
3,2457.0,1,40.0,3,183.0
3,2602.0,1,41.0,2,149.0
3,2602.0,3,41.0,2,111.0
3,2607.0,1,5.0,2,327.0
3,2625.0,1,16.0,1,82.0
3,2665.0,1,26.0,2,161.0
3,2665.0,3,26.0,3,99.0
3,2704.0,3,6.0,2,72.0
3,2775.0,2,20.0,1,54.0
3,2775.0,3,20.0,3,144.0
3,2870.0,1,37.0,5,298.0
3,2870.0,3,37.0,4,114.0
3,2874.0,2,20.0,1,49.0
3,2874.0,3,20.0,1,22.0
3,2968.0,1,41.0,2,163.0
3,2968.0,2,41.0,2,100.0
3,2968.0,3,41.0,2,246.0
3,3055.0,3,8.0,3,165.0
3,3159.0,3,41.0,1,128.0
3,3183.0,1,8.0,6,686.0
4,6.0,2,41.0,1,46.0
4,26.0,1,3.0,1,190.0
4,37.0,1,20.0,3,60.0
4,126.0,3,20.0,1,91.0
4,140.0,3,26.0,1,198.0
4,151.0,1,41.0,8,598.0
4,151.0,3,41.0,7,431.0
4,177.0,1,41.0,8,178.0
4,177.0,3,41.0,9,375.0
4,219.0,1,41.0,4,392.0
4,219.0,3,41.0,3,299.0
4,227.0,1,40.0,3,278.0
4,227.0,3,40.0,3,223.0
4,241.0,1,3.0,1,45.0
4,246.0,1,29.0,3,186.0
4,246.0,3,29.0,4,168.0
4,255.0,3,37.0,1,45.0
4,261.0,3,8.0,2,46.0
4,414.0,1,41.0,3,448.0
4,414.0,2,41.0,1,45.0
4,414.0,3,41.0,3,161.0
4,449.0,1,4.0,6,133.0
4,449.0,3,4.0,6,133.0
4,484.0,1,27.0,1,82.0
4,484.0,3,27.0,2,101.0
4,527.0,2,36.0,1,47.0
4,557.0,1,41.0,1,129.0
4,557.0,3,41.0,2,55.0
4,655.0,1,40.0,4,88.0
4,770.0,1,5.0,3,301.0
4,770.0,3,5.0,2,117.0
4,892.0,3,16.0,2,95.0
4,934.0,3,8.0,8,111.0
4,1002.0,2,20.0,6,273.0
4,1002.0,3,20.0,1,17.0
4,1258.0,1,41.0,4,300.0
4,1258.0,2,41.0,1,45.0
4,1258.0,3,41.0,5,250.0
4,1277.0,1,36.0,1,177.0
4,1286.0,2,17.0,1,46.0
4,1359.0,1,8.0,7,91.0
4,1387.0,3,41.0,1,255.0
4,1444.0,3,40.0,5,404.0
4,1455.0,1,41.0,2,118.0
4,1455.0,2,41.0,1,46.0
4,1455.0,3,41.0,2,118.0
4,1482.0,1,41.0,2,44.0
4,1482.0,3,41.0,2,44.0
4,1605.0,2,40.0,2,95.0
4,1689.0,3,40.0,1,132.0
4,1697.0,1,41.0,5,711.0
4,1697.0,3,41.0,6,285.0
4,1735.0,1,19.0,4,178.0
4,1761.0,1,41.0,3,283.0
4,1761.0,2,41.0,1,46.0
4,1761.0,3,41.0,2,263.0
4,1815.0,1,41.0,7,642.0
4,1815.0,2,41.0,1,45.0
4,1815.0,3,41.0,6,206.0
4,1900.0,1,41.0,6,359.0
4,1900.0,3,41.0,7,288.0
4,1980.0,1,8.0,3,89.0
4,1980.0,3,8.0,4,131.0
4,2236.0,3,29.0,3,60.0
4,2275.0,1,40.0,2,257.0
4,2384.0,1,41.0,1,7.0
4,2384.0,3,41.0,1,155.0
4,2607.0,1,5.0,1,195.0
4,2625.0,1,16.0,3,277.0
4,2665.0,1,26.0,3,291.0
4,2665.0,3,26.0,3,110.0
4,2704.0,1,6.0,4,195.0
4,2704.0,3,6.0,4,178.0
4,2775.0,2,20.0,1,45.0
4,2775.0,3,20.0,4,184.0
4,2870.0,1,37.0,5,209.0
4,2870.0,2,37.0,2,94.0
4,2870.0,3,37.0,5,148.0
4,2874.0,3,20.0,1,20.0
4,2968.0,1,41.0,3,228.0
4,2968.0,3,41.0,3,77.0
4,3055.0,3,8.0,1,32.0
4,3183.0,1,8.0,3,66.0
